"","LP","ID","Data.rozpoczecia","Data.zakonczenia","Calkowity.czas.wypelniania","Rzeczywisty.czas.wypelniania","z1.wiedza.dziedzinowa","z1.zdolnosci.analityczne","z1.skutecznosc","z1.swiadomosc.roli","z1.otwartosc.feedback","z1.rozwoj.wlasny","z2.sposob.pracy","z2.licza.sie","z2.podazaja","z2.potrafi.rozmawiac","z2.dostrzega.potrzeby","z2.dostrzega.potencjal","z2.rozwoj.zawodowy","z2.rozwoj.osobisty","z2.wartosciowy.feedback","z2.dostepny","z2.bezpieczenstwo","z2.nadmierna.presja","z2.trudne.sytuacje","z2.godna.zaufania","z3.zeby.wspolpraca","z3.dobra.atmosfera","z3.mocne.strony","z3.jasne.cele","z3.organizuje.prace","z3.nawyki","z3.chetnie.angazuja","z3.zaprezentowac","z3.w.otoczeniu","z3.komunikuje.zmiany","z3.glowne.wartosci","z3.przeklada.misje","z3.att.check","r1.wiedza.dziedzinowa","r1.zdolnosci.analityczne","r1.skutecznosc","r1.swiadomosc.roli","r1.otwartosc.feedback","r1.rozwoj.wlasny","r2.sposob.pracy","r2.licza.sie","r2.podazaja","r2.potrafi.rozmawiac","r2.dostrzega.potrzeby","r2.dostrzega.potencjal","r2.rozwoj.zawodowy","r2.rozwoj.osobisty","r2.wartosciowy.feedback","r2.dostepny","r2.bezpieczenstwo","r2.nadmierna.presja","r2.trudne.sytuacje","r2.godna.zaufania","r3.zeby.wspolpraca","r3.dobra.atmosfera","r3.mocne.strony","r3.jasne.cele","r3.organizuje.prace","r3.nawyki","r3.chetnie.angazuja","r3.zaprezentowac","r3.w.otoczeniu","r3.komunikuje.zmiany","r3.glowne.wartosci","r3.przeklada.misje","r3.att.check","inne.open","UWES1","UWES2","UWES3","UWES4","UWES5","UWES6","UWES7","UWES8","UWES9","wiek","plec","narodowosc.PL","narodowosc.GER","narodowosc.UA","narodowosc.BY","narodowosc.UK","narodowosc.USA","narodowosc.ESP","narodowosc.FR","narodowosc.IT","narodowosc.inna","narodowosc.jaka","staz","kraj.wspolpraca","kraj.inny","stanowisko","stanowisko.inne","poziomy.ponizej","ile.w.zespole","ile.w.zespole.inne","dla.ilu.przeloz","dla.ilu.przeloz.inne","dla.ilu.lider","tryb.pracy","tryb.hybryd","tryb.hybryd.inne","ilu.liderow","final.open","urzadzenie","parametr.zewn","jezyk.wypeln","tagi","strona.odsylajaca","czas.wyp.s1","czas.wyp.s2","czas.wyp.s3","czas.wyp.s4","czas.wyp.s5","czas.wyp.s6","czas.wyp.s7","czas.wyp.s8","czas.wyp.s9","czas.wyp.s10","czas.wyp.s11","czas.wyp.s12"
"37",37,481418448,"2024-10-18 15:21:39","2024-10-18 15:28:30","00:06:51","00:06:51","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","To nie jest dla mnie ważne",NA,NA,3,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,3,NA,5,NA,NA,2,NA,NA,NA,"","Raz w tygodniu","Raz w tygodniu","Kilka razy w tygodniu","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Raz w tygodniu","Kilka razy w tygodniu","Kilka razy w miesiącu",25,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"3-5","Niemcy","","Menadżer średniego szczebla (lider liderów)","",2,"6-10","","1-5",NA,"11-20","Hybrydowo","Dwa dni","","Stabilna struktura zespołu sprawia, że pracując na obecnym stanowisku mam stałego/ą lidera/kę","","Mobile",NA,"pl",NA,"","00:00:09","00:00:57","00:01:17","00:01:04","00:00:20","00:00:14","00:00:25","00:01:04","00:00:42","00:00:11","00:00:04","00:00:24"
"38",38,481418454,"2024-10-18 15:22:00","2024-10-18 15:28:31","00:06:31","00:06:31","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne",NA,NA,2,3,1,4,12,6,4,10,11,13,3,NA,2,5,8,9,7,1,4,6,NA,1,2,8,3,9,5,10,NA,7,NA,"Nie tworzy plotek i nie podważa kompetencji","Raz w tygodniu","Raz w tygodniu","Zawsze","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu","Zawsze","Zawsze","Kilka razy w miesiącu",31,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Polska","","Team leader, kierownik","",2,"6-10","","1-5",NA,"6-10","Hybrydowo","Cztery dni","","Organizacja pracy na moim stanowisku wymaga regularnej współpracy z więcej, niż jednym liderem/ką","","Mobile",NA,"pl",NA,"","00:00:06","00:00:38","00:00:33","00:01:05","00:00:34","00:00:46","00:00:30","00:01:16","00:00:33","00:00:04","00:00:04","00:00:22"
"39",39,481418484,"2024-10-18 15:21:51","2024-10-18 15:28:40","00:06:49","00:06:49","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne",NA,NA,1,2,3,4,9,NA,NA,6,4,3,7,NA,5,8,1,NA,NA,2,1,NA,7,9,8,NA,5,6,2,4,NA,3,NA,"","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Zawsze","Kilka razy w tygodniu","Zawsze","Zawsze","Zawsze","Kilka razy w tygodniu",42,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Polska","","Team leader, kierownik","",2,"6-10","","6-10",NA,"6-10","Hybrydowo","Trzy dni","","Organizacja pracy na moim stanowisku wymaga regularnej współpracy z więcej, niż jednym liderem/ką","","Mobile",NA,"pl",NA,"android-app://com.google.android.googlequicksearchbox/","00:00:08","00:01:03","00:01:05","00:00:51","00:00:25","00:00:44","00:00:34","00:00:36","00:00:50","00:00:10","00:00:04","00:00:19"
"40",40,481418538,"2024-10-18 15:21:26","2024-10-18 15:28:52","00:07:26","00:07:26","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"","Raz w miesiącu lub rzadziej","Kilka razy w miesiącu","Zawsze","Kilka razy w miesiącu","Raz w tygodniu","Kilka razy w miesiącu","Zawsze","Zawsze","Kilka razy w tygodniu",37,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"11-15","Inny - jaki?","globalnie","Team leader, kierownik","",1,"6-10","","6-10",NA,"6-10","Całkowicie zdalnie (online)","","","","","Mobile",NA,"pl",NA,"","00:00:16","00:01:12","00:01:02","00:01:23","00:00:11","00:00:16","00:00:03","00:01:09","00:01:33","00:00:09","00:00:12",""
"41",41,481418775,"2024-10-18 15:21:32","2024-10-18 15:29:55","00:08:23","00:08:23","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","To nie jest dla mnie ważne",NA,NA,2,3,1,NA,14,7,10,3,6,5,9,12,2,1,8,11,13,4,9,NA,6,8,2,NA,1,4,3,5,7,NA,NA,"","Kilka razy w tygodniu","Zawsze","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Zawsze","Zawsze",28,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Polska","","Team leader, kierownik","",0,"6-10","","6-10",NA,"6-10","Biuro (onsite)","","","","","Mobile",NA,"pl",NA,"","00:01:43","00:00:52","00:00:38","00:01:23","00:00:27","00:01:03","00:00:40","00:00:41","00:00:39","00:00:13","00:00:04",""
"42",42,481418967,"2024-10-18 15:21:46","2024-10-18 15:31:08","00:09:22","00:09:22","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","To nie jest dla mnie ważne",4,NA,3,NA,1,2,1,4,NA,5,NA,NA,NA,NA,NA,3,NA,NA,2,6,4,5,NA,NA,NA,NA,2,3,1,6,NA,NA,NA,"Otwartość w komunikacji, szczerość, umiejętność przyznania się do błędu.","Kilka razy w miesiącu","Raz w miesiącu lub rzadziej","Kilka razy w tygodniu","Raz w tygodniu","Raz w miesiącu lub rzadziej","Kilka razy w miesiącu","Zawsze","Zawsze","Kilka razy w tygodniu",37,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"6-10","USA","","Team leader, kierownik","",1,"2-5","","6-10",NA,"6-10","Hybrydowo","Trzy dni","","Stabilna struktura zespołu sprawia, że pracując na obecnym stanowisku mam stałego/ą lidera/kę","","Mobile",NA,"pl",NA,"","00:00:36","00:00:45","00:01:55","00:01:25","00:00:35","00:00:35","00:00:51","00:01:24","00:00:45","00:00:11","00:00:04","00:00:16"
"43",43,481419063,"2024-10-18 15:22:40","2024-10-18 15:31:40","00:09:00","00:09:00","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","To nie jest dla mnie ważne",NA,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,3,NA,NA,NA,"Wymagający, ale ludzki. Stawiający realne cele. Doceniający pracę i ludzi.","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu",52,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"powyżej 20 lat","USA","","Team leader, kierownik","",1,"11-20","","6-10",NA,"6-10","Hybrydowo","Jeden dzień","","Organizacja pracy na moim stanowisku wymaga regularnej współpracy z więcej, niż jednym liderem/ką","","Mobile",NA,"pl",NA,"","00:00:17","00:01:03","00:01:28","00:01:22","00:00:54","00:00:08","00:00:23","00:01:44","00:00:42","00:00:30","00:00:05","00:00:23"
"44",44,481419396,"2024-10-18 15:21:51","2024-10-18 15:33:08","00:11:17","00:11:17","Trochę ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,1,NA,2,NA,7,10,NA,1,8,9,12,13,11,5,3,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Żeby miał dla pracownika czas","Kilka razy w roku lub rzadziej","Kilka razy w miesiącu","Zawsze","Raz w miesiącu lub rzadziej","Kilka razy w roku lub rzadziej","Raz w miesiącu lub rzadziej","Raz w miesiącu lub rzadziej","Kilka razy w miesiącu","Kilka razy w tygodniu",42,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"16-20","Polska","","Team leader, kierownik","",2,"2-5","","1-5",NA,"1-5","Całkowicie zdalnie (online)","","","","","Mobile",NA,"pl",NA,"","00:00:06","00:01:07","00:01:25","00:01:56","00:00:27","00:01:55","00:00:20","00:02:49","00:00:50","00:00:16","00:00:06",""
"45",45,481420674,"2024-10-18 15:35:07","2024-10-18 15:40:22","00:05:15","00:05:15","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,2,1,3,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w miesiącu","Raz w tygodniu","Raz w tygodniu","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w tygodniu","Kilka razy w miesiącu",30,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"3-5","Polska","","Pracownik, członek zespołu","",0,"2-5","","",NA,"","Hybrydowo","Trzy dni","","Stabilna struktura zespołu sprawia, że pracując na obecnym stanowisku mam stałego/ą lidera/kę","","Mobile",NA,"pl",NA,"","00:00:05","00:00:44","00:00:54","00:01:04","00:00:30","00:00:11","00:00:11","00:00:46","00:00:33","","00:00:04","00:00:13"
"46",46,481425933,"2024-10-18 16:00:23","2024-10-18 16:09:32","00:09:09","00:09:09","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",2,NA,NA,NA,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,"Umiejętność słuchania, uważność na potrzeby zespołu","Raz w tygodniu","Raz w tygodniu","Kilka razy w tygodniu","Raz w tygodniu","Raz w tygodniu","Raz w tygodniu","Zawsze","Kilka razy w tygodniu","Raz w tygodniu",30,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"3-5","Polska","","Inny rodzaj stanowiska (jaki?)","HR",5,"2-5","","1-5",NA,"1-5","Hybrydowo","Dwa dni","","Stabilna struktura zespołu sprawia, że pracując na obecnym stanowisku mam stałego/ą lidera/kę","","Mobile",NA,"pl",NA,"","00:00:09","00:00:52","00:01:40","00:01:25","00:00:29","00:00:16","00:00:10","00:02:03","00:01:29","00:00:09","00:00:05","00:00:22"
"47",47,481426332,"2024-10-18 16:02:03","2024-10-18 16:11:55","00:09:52","00:09:52","To nie jest dla mnie ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,3,2,1,NA,NA,NA,2,NA,1,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kultura osobista
Zaangażowanie
Empatia","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Raz w tygodniu",28,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"6-10","USA","","Team leader, kierownik","",1,"6-10","","1-5",NA,"1-5","Całkowicie zdalnie (online)","","","","","Mobile",NA,"pl",NA,"","00:00:24","00:01:14","00:02:45","00:01:25","00:00:26","00:00:14","","00:02:02","00:01:05","00:00:09","00:00:08",""
"48",48,481426371,"2024-10-18 16:00:19","2024-10-18 16:12:07","00:11:48","00:11:48","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,"","Kilka razy w miesiącu","Kilka razy w miesiącu","Kilka razy w tygodniu","Kilka razy w miesiącu","Kilka razy w tygodniu","Raz w tygodniu","Kilka razy w miesiącu","Kilka razy w tygodniu","Kilka razy w roku lub rzadziej",36,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"6-10","Polska","","Inny rodzaj stanowiska (jaki?)","Wparcie specjalistyczne wielu zespołów",0,"2-5","","1-5",NA,"11-20","Hybrydowo","Trzy dni","","Organizacja pracy na moim stanowisku wymaga regularnej współpracy z więcej, niż jednym liderem/ką","","Mobile",NA,"pl",NA,"","00:00:05","00:01:13","00:01:41","00:01:39","00:00:41","00:00:17","00:00:14","00:01:42","00:03:26","00:00:15","00:00:03","00:00:32"
